ID,name,price,stock,type
4001,Encyclopedia Pointing Book 48 Piece,2119,7,Knowledge
4002,Food Superman Story Set,1799,11,Knowledge
4003,365 Bear Story Speaker,1469,60,Story
4004,I Can Do It 6-Book Set,1449,72,Story
4005,Game Box for Kids,1389,55,Game
4006,Newwis Rabbit Speaker,1339,20,Story
4007,Food Superman Lovely Kids' Songs Picture Book,1169,54,Language
4008,Perfect Princess,1099,10,Story
4009,Creativity Book Set ,1079,43,Knowledge
4010,Kid's Picture Books,1069,6,Story
4011,Learning English with Eric Carle Book Set,999,36,Language
4012,The Ultimate Book of Vehicles ,999,8,Knowledge
4013,Taiwanese Pointing Book,999,89,Language
4014,Encyclopedia Pointing Book,999,77,Knowledge
4015,I can do it! Little Scientist and Her Classmates,999,78,Story
4016,Explore The Outer Space + Explore The Earth,969,16,Game
4017,Kids' Pointing Book ,959,90,Story
4018,Safety Knowledge Book Set ,939,81,Knowledge
4019,World Classic Fairy Tales 4-Book,919,30,Story
4020,World Classic Fairy Tales 4-Book-2,919,26,Story
4021,Caring for children's emotional behavior picture book set,899,84,Knowledge
4022,Ninja Book Set,899,51,Story
4023,100 Floors Book Set,889,65,Story
4024,Silver Fish Kids' Book Set,869,9,Story
4025,Kid's Math Comic Books,869,74,Story
4026,Little Pookie Comic Books,859,38,Game
4027,Magnetology : Vehicles+Construction Sites,859,92,Game
4028,Little Yellow Dots Picture Book Collection 4 Books,859,45,Story
4029,Winnie-the-Pooh The Complete Edition,855,68,Language
4030,The Fun Of Adventure Market And Worldwide,799,96,Knowledge
4031,Magic Books Set 4 Books,799,39,Story
4032,Growing Up with Crayon Black Book Set,799,12,Story
4033,Seven Mice Book Set,795,28,Story
4034,Penguin Book Set,789,44,Story
4035,The Game Of Beauty Book Set,729,31,Game
4036,0 to 3 Year Old Baby Brain Development Game Book Series 1,725,95,Game
4037,0 to 3 Year Old Baby Brain Development Game Book Series 2,725,76,Game
4038,0 to 3 Year Old Baby Brain Development Game Book Series 3,725,52,Game
4039,Kids' Sound Book 4 Books Set,675,98,Story
4040,Food Safety For Children,669,22,Knowledge
4041,Grandma Ham Bed Story Book Set ,659,82,Story
4042,Kids' Interaction Book Set,655,24,Game
4043,Kids' Interaction Book Set-2,655,34,Game
4044,Search and Find Alphabet of Alphabets +Search and Find A Number of Numbers,615,17,Language
4045,Kid's Story Book Set ,589,75,Story
4046,Green's Fairy Tales Book Set,579,67,Story
4047,"See, Search, Find : On The Go + Safari",455,0,Knowledge
4048,Harper I Can Read,399,27,Story
4049,Disney 365 Bedtime Stories,359,33,Language
4050,100 First Words,289,50,Language
4051,Success With Jumbo Workbook,275,41,Language
4052,Colorful Pop Assortment Book,265,77,Language
4053,Dr. Seuss Picture Book,219,30,Language
,, ,,
