ID,name,price,stock,type
4005,Game Box for Kids,1389,55,Game
4016,Explore The Outer Space + Explore The Earth,969,16,Game
4026,Little Pookie Comic Books,859,38,Game
4027,Magnetology : Vehicles+Construction Sites,859,92,Game
4035,The Game Of Beauty Book Set,729,31,Game
4036,0 to 3 Year Old Baby Brain Development Game Book Series 1,725,95,Game
4037,0 to 3 Year Old Baby Brain Development Game Book Series 2,725,76,Game
4038,0 to 3 Year Old Baby Brain Development Game Book Series 3,725,52,Game
4042,Kids' Interaction Book Set,655,24,Game
4043,Kids' Interaction Book Set-2,655,34,Game
