ID,name,price,stock,type
4001,Encyclopedia Pointing Book 48 Piece,2119,7,Knowledge
4002,Food Superman Story Set,1799,11,Knowledge
4009,Creativity Book Set ,1079,43,Knowledge
4012,The Ultimate Book of Vehicles ,999,8,Knowledge
4014,Encyclopedia Pointing Book,999,77,Knowledge
4018,Safety Knowledge Book Set ,939,81,Knowledge
4021,Caring for children's emotional behavior picture book set,899,84,Knowledge
4030,The Fun Of Adventure Market And Worldwide,799,96,Knowledge
4040,Food Safety For Children,669,22,Knowledge
4047,"See, Search, Find : On The Go + Safari",455,0,Knowledge
