ID,name,price,stock,type
4007,Food Superman Lovely Kids' Songs Picture Book,1169,54,Language
4011,Learning English with Eric Carle Book Set,999,36,Language
4013,Taiwanese Pointing Book,999,89,Language
4029,Winnie-the-Pooh The Complete Edition,855,68,Language
4044,Search and Find Alphabet of Alphabets +Search and Find A Number of Numbers,615,17,Language
4049,Disney 365 Bedtime Stories,359,33,Language
4050,100 First Words,289,50,Language
4051,Success With Jumbo Workbook,275,41,Language
4052,Colorful Pop Assortment Book,265,77,Language
4053,Dr. Seuss Picture Book,219,30,Language
