ID,name,price,stock,type
4003,365 Bear Story Speaker,1469,60,Story
4004,I Can Do It 6-Book Set,1449,72,Story
4006,Newwis Rabbit Speaker,1339,20,Story
4008,Perfect Princess,1099,10,Story
4010,Kid's Picture Books,1069,6,Story
4015,I can do it! Little Scientist and Her Classmates,999,78,Story
4017,Kids' Pointing Book ,959,90,Story
4019,World Classic Fairy Tales 4-Book,919,30,Story
4020,World Classic Fairy Tales 4-Book-2,919,26,Story
4022,Ninja Book Set,899,51,Story
4023,100 Floors Book Set,889,65,Story
4024,Silver Fish Kids' Book Set,869,9,Story
4025,Kid's Math Comic Books,869,74,Story
4028,Little Yellow Dots Picture Book Collection 4 Books,859,45,Story
4031,Magic Books Set 4 Books,799,39,Story
4032,Growing Up with Crayon Black Book Set,799,12,Story
4033,Seven Mice Book Set,795,28,Story
4034,Penguin Book Set,789,44,Story
4039,Kids' Sound Book 4 Books Set,675,98,Story
4041,Grandma Ham Bed Story Book Set ,659,82,Story
4045,Kid's Story Book Set ,589,75,Story
4046,Green's Fairy Tales Book Set,579,67,Story
4048,Harper I Can Read,399,27,Story
