ID,name,price,storage,type
2018,Dresses,300,23,All season
2002,Hats,450,39,All season
2028,Jackets,550,21,All season
2024,Socks,500,35,All season
2029,Sports uniforms,350,1,All season
2046,Underwear,450,19,All season
2048,Pants,250,54,All season
2012,Skirts,500,27,All season
2042,Bathrobe,400,45,All season
2038,Pajamas,350,50,All season
2010,Baseball hats ,250,62,All season
2041,Full length lined rain coat ,550,22,All season
2030,Red leather jacket,400,33,All season
2043,Driving gloves,300,16,All season
2044,Leather gloves,200,52,All season
2047,Low hiking boots,400,5,All season
2023,Tall hiking boots,350,30,All season
2032,Jacket - blue hood,250,3,All season
2011,Jacket - pink zip,450,48,All season
2033,Golf pants ,200,14,All season
2040,Golf shirts,300,69,All season
2001,Golf gloves,500,60,All season
2015,Nightgown,550,49,All season
2053,Boxers,200,16,All season
2052,Y-fronts,250,6,All season
2051,Blouse,450,23,All season
2057,Brief,550,26,All season
2055,Men's Western Hat,450,12,All season
