ID,name,price,stock,type
1031,Spam Luncheon Meat 340 g X 6-Count,849,291,canned food
1032,Kirkland Signature Wild Alaskan Pink Salmon Bondless & Skinless 170 g X 6-Count,699,315,canned food
1033,Kirkland Signature Chicken Breast 354 g X 6-Count,675,455,canned food
1034,Campbell's Minestrone 305 g X 6-Count,295,402,canned food
1035,Typhone Pineapple Pieces 3 kg,175,170,canned food
1036,Mon Petit Canned Cat Food with 3 Flavors 80 g X 24-Count,615,218,canned food
1037,Der Long Pork Rib Soup with Pearl Barley and Chinese Yam 1200 g X 2-Pack,445,426,canned food
1038,AIXIA Kuro-Can Cat Wet Food Pouch 2-Flavor 70 g X 24-Count,519,192,canned food
1039,AIXIA Kuro-Can Cat Wet Food Pouch 2-Flavor 70 g X 24-Count,209,115,canned food
1040,Campbell's New England Clam Chowder 1.41 kg X 2-Count,359,186,canned food
