ID,name,price,stock,type
1021,Tseng Noodles 116 g X 12 Pack X 135 Case,52689,240,dry goods
1022,Arm & Hammer Baking Soda 6.12 kg X 160 Unit,45999,196,dry goods
1023,San Ho Tainan 11 Cns 1 Rice 25 kg X 40 Pack,40949,250,dry goods
1024,San-Ho Wufeng Rice 1.5 kg X 12-Pack,1499,388,dry goods
1025,IRIS OHYAMA Japan Retort Cooked Rice 150 g X 40-Pack,1245,164,dry goods
1026,San Ho Tainan 11 Cns 1 Rice 25 kg,1149,467,dry goods
1027,A Core One Mixed Embryo Rice 3 kg X 3-Count,799,336,dry goods
1028,Kirkland Signature Thai Hom Mali Jasmine Rice 11.3 kg,799,485,dry goods
1029,Japan Niigata Uonuma Koshihikari Japan Rice 5 kg,789,384,dry goods
1030,A Core One Brown Rice 3 kg X 3-Count,755,106,dry goods
