ID,name,price,stock,type
1001,Fernleaf Milk Powder Full Cream 2.6 kg X 150 Unit,112999,130,beverage
1002,UCC Drip Coffee 7 g X 75-Count X 162-Case,107729,248,beverage
1003,Barista Premium Drip Coffee 12 g X 50 Count X 144 Unit,99999,294,beverage
1004,Swiss Miss Rich Chocolate 1.98 kg X 252-Unit,89999,496,beverage
1005,Barista 3-in-1 Latte 21 g X 100 Count X 120 Unit,79995,358,beverage
1006,Barista 2 In 1 Rich Latte 21 g X 100 Count X 120 Unit,79995,142,beverage
1007,Swiss Miss Dark Chocolate 31 g X 50 Count X 208 Unit,69999,468,beverage
1008,Calbee Fruit Granola 1 kg X 216-Unit,66999,141,beverage
1009,Barista Yorkshire Milk Tea 25 g X 100 Count X 120 Unit,59999,366,beverage
1010,Swiss Miss Hot Cocoa 28 g X 60 Count X 160 Unit,52999,324,beverage
1011,Angie's BoomChickaPop Sweet and Salty Kettle Popcorn 652 g,269,390,snacks
1012,Monbana 1934 70% Ghana Dark Chocolate Stick 640 g,435,303,snacks
1013,Hwa Yuan Triangle Chips Variety Pack 36 g X 28-Pack,293,252,snacks
1014,Caplico Mini Ice Cream Snacks 87 g X 3-Pack,279,464,snacks
1015,Kirkland Signature Dark Chocolate Flavor Nut Bars 40 g X 24 Count,464,153,snacks
1016,Cemoi Assorted Chocolate Praline Eggs 600 g,335,464,snacks
1017,Kirkland Signature Unsalted Mixed Nuts 1.13 kg,649,92,snacks
1018,Kenji Saltine Cracker 20 g X 40-Pack,205,337,snacks
1019,Denroku Japan Mixed Salty Snacks 730 g,399,375,snacks
1020,North Sea Fish Snacks 600 g,295,155,snacks
1021,Tseng Noodles 116 g X 12 Pack X 135 Case,52689,240,dry goods
1022,Arm & Hammer Baking Soda 6.12 kg X 160 Unit,45999,196,dry goods
1023,San Ho Tainan 11 Cns 1 Rice 25 kg X 40 Pack,40949,250,dry goods
1024,San-Ho Wufeng Rice 1.5 kg X 12-Pack,1499,388,dry goods
1025,IRIS OHYAMA Japan Retort Cooked Rice 150 g X 40-Pack,1245,164,dry goods
1026,San Ho Tainan 11 Cns 1 Rice 25 kg,1149,467,dry goods
1027,A Core One Mixed Embryo Rice 3 kg X 3-Count,799,336,dry goods
1028,Kirkland Signature Thai Hom Mali Jasmine Rice 11.3 kg,799,485,dry goods
1029,Japan Niigata Uonuma Koshihikari Japan Rice 5 kg,789,384,dry goods
1030,A Core One Brown Rice 3 kg X 3-Count,755,106,dry goods
1031,Spam Luncheon Meat 340 g X 6-Count,849,291,canned food
1032,Kirkland Signature Wild Alaskan Pink Salmon Bondless & Skinless 170 g X 6-Count,699,315,canned food
1033,Kirkland Signature Chicken Breast 354 g X 6-Count,675,455,canned food
1034,Campbell's Minestrone 305 g X 6-Count,295,402,canned food
1035,Typhone Pineapple Pieces 3 kg,175,170,canned food
1036,Mon Petit Canned Cat Food with 3 Flavors 80 g X 24-Count,615,218,canned food
1037,Der Long Pork Rib Soup with Pearl Barley and Chinese Yam 1200 g X 2-Pack,445,426,canned food
1038,AIXIA Kuro-Can Cat Wet Food Pouch 2-Flavor 70 g X 24-Count,519,192,canned food
1039,AIXIA Kuro-Can Cat Wet Food Pouch 2-Flavor 70 g X 24-Count,209,115,canned food
1040,Campbell's New England Clam Chowder 1.41 kg X 2-Count,359,186,canned food
1041,Vilson Organic Black Sesame Seed Powder 500 g X 2-Pack,615,243,organic food
1042,Greenmax Organic Apricot Kernel Powder 600 g,599,306,organic food
1043,Greenme Organic Rice 5 kg,559,180,organic food
1044,Vilson Organic Five Color of Multi-Grains 3 kg,549,480,organic food
1045,Vilson Organic Five Color of Multi-Grains 3 kg,469,106,organic food
1046,Kirkland Signature Organic Blue Agave Syrup 1.02 kg X 2 Count,419,212,organic food
1047,KF Goods Organic Sesame Cluster 25 g X 20-Pack,419,415,organic food
1048,Kirkland Signature Organic Lemonade 2.84 L X 2-Pack,399,448,organic food
1049,Quaker Organic Whole Oats 935 g X 2 Count,399,455,organic food
1050,Vilson Organic Chinese Herb Tea Chi 6 g X 30-Count,379,429,organic food
