ID,name,price,stock,type
1011,Angie's BoomChickaPop Sweet and Salty Kettle Popcorn 652 g,269,390,snacks
1012,Monbana 1934 70% Ghana Dark Chocolate Stick 640 g,435,303,snacks
1013,Hwa Yuan Triangle Chips Variety Pack 36 g X 28-Pack,293,252,snacks
1014,Caplico Mini Ice Cream Snacks 87 g X 3-Pack,279,464,snacks
1015,Kirkland Signature Dark Chocolate Flavor Nut Bars 40 g X 24 Count,464,153,snacks
1016,Cemoi Assorted Chocolate Praline Eggs 600 g,335,464,snacks
1017,Kirkland Signature Unsalted Mixed Nuts 1.13 kg,649,92,snacks
1018,Kenji Saltine Cracker 20 g X 40-Pack,205,337,snacks
1019,Denroku Japan Mixed Salty Snacks 730 g,399,375,snacks
1020,North Sea Fish Snacks 600 g,295,155,snacks
